Source,Target,Type,Id,Label,timeset
Galeocerdo cuvier,Mycteroperca tigris,Directed,,preysOn,
Galeocerdo cuvier,Mycteroperca tigris,Directed,,eats,
Galeocerdo cuvier,Mycteroperca venenosa,Directed,,preysOn,
Galeocerdo cuvier,Mycteroperca venenosa,Directed,,eats,
Galeocerdo cuvier,Myrichthys breviceps,Directed,,preysOn,
Galeocerdo cuvier,Myrichthys breviceps,Directed,,eats,
Galeocerdo cuvier,Myrichthys ocellatus,Directed,,preysOn,
Galeocerdo cuvier,Myrichthys ocellatus,Directed,,eats,
Galeocerdo cuvier,Myripristis jacobus,Directed,,preysOn,
Galeocerdo cuvier,Myripristis jacobus,Directed,,eats,
Galeocerdo cuvier,Negaprion acutidens,Directed,,eats,
Galeocerdo cuvier,Negaprion brevirostris,Directed,,preysOn,
Galeocerdo cuvier,Negaprion brevirostris,Directed,,eats,
Galeocerdo cuvier,Neoniphon marianus,Directed,,preysOn,
Galeocerdo cuvier,Neoniphon marianus,Directed,,eats,
Galeocerdo cuvier,Ocyurus chrysurus,Directed,,preysOn,
Galeocerdo cuvier,Ocyurus chrysurus,Directed,,eats,
Galeocerdo cuvier,Odontoscion dentex,Directed,,preysOn,
Galeocerdo cuvier,Odontoscion dentex,Directed,,eats,
Galeocerdo cuvier,Ogcocephalus nasutus,Directed,,preysOn,
Galeocerdo cuvier,Ogcocephalus nasutus,Directed,,eats,
Galeocerdo cuvier,Oligoplites saurus,Directed,,preysOn,
Galeocerdo cuvier,Oligoplites saurus,Directed,,eats,
Galeocerdo cuvier,Onychoteuthis banksii,Directed,,eats,
Galeocerdo cuvier,Onychoteuthis banksii,Directed,,preysOn,
Galeocerdo cuvier,Ophichthus ophis,Directed,,preysOn,
Galeocerdo cuvier,Ophichthus ophis,Directed,,eats,
Galeocerdo cuvier,Opisthonema oglinum,Directed,,preysOn,
Galeocerdo cuvier,Opisthonema oglinum,Directed,,eats,
Galeocerdo cuvier,Ornithoteuthis volatilis,Directed,,eats,
Galeocerdo cuvier,Ornithoteuthis volatilis,Directed,,preysOn,
Galeocerdo cuvier,Ovis aries,Directed,,eats,
Galeocerdo cuvier,Parablennius marmoreus,Directed,,preysOn,
Galeocerdo cuvier,Paranthias furcifer,Directed,,preysOn,
Galeocerdo cuvier,Paranthias furcifer,Directed,,eats,
Galeocerdo cuvier,Pareques acuminatus,Directed,,preysOn,
Galeocerdo cuvier,Pareques acuminatus,Directed,,eats,
Galeocerdo cuvier,Pempheris schomburgkii,Directed,,eats,
Galeocerdo cuvier,Phoebastria nigripes,Directed,,eats,
Galeocerdo cuvier,Platybelone argalus,Directed,,preysOn,
Galeocerdo cuvier,Platybelone argalus,Directed,,eats,
Galeocerdo cuvier,Pomacanthus arcuatus,Directed,,preysOn,
Galeocerdo cuvier,Pomacanthus arcuatus,Directed,,eats,
Galeocerdo cuvier,Pomacanthus paru,Directed,,preysOn,
Galeocerdo cuvier,Pomacanthus paru,Directed,,eats,
Galeocerdo cuvier,Pomatomus saltatrix,Directed,,eats,
Galeocerdo cuvier,Priacanthus arenatus,Directed,,preysOn,
Galeocerdo cuvier,Priacanthus arenatus,Directed,,eats,
Galeocerdo cuvier,Pseudupeneus maculatus,Directed,,preysOn,
Galeocerdo cuvier,Pseudupeneus maculatus,Directed,,eats,
Galeocerdo cuvier,Ptereleotris helenae,Directed,,eats,
Galeocerdo cuvier,Ranina ranina,Directed,,eats,
Galeocerdo cuvier,Ranina ranina,Directed,,preysOn,
Galeocerdo cuvier,Rhinesomus triqueter,Directed,,preysOn,
Galeocerdo cuvier,Rhinesomus triqueter,Directed,,eats,
Galeocerdo cuvier,Rhizoprionodon porosus,Directed,,preysOn,
Galeocerdo cuvier,Rhizoprionodon porosus,Directed,,eats,
Galeocerdo cuvier,Rypticus saponaceus,Directed,,preysOn,
Galeocerdo cuvier,Rypticus saponaceus,Directed,,eats,
Galeocerdo cuvier,Sargocentron vexillarium,Directed,,preysOn,
Galeocerdo cuvier,Sargocentron vexillarium,Directed,,eats,
Galeocerdo cuvier,Scarus coelestinus,Directed,,preysOn,
Galeocerdo cuvier,Scarus coelestinus,Directed,,eats,
Galeocerdo cuvier,Scarus guacamaia,Directed,,preysOn,
Galeocerdo cuvier,Scarus guacamaia,Directed,,eats,
Galeocerdo cuvier,Scarus iseri,Directed,,preysOn,
Galeocerdo cuvier,Scarus iseri,Directed,,eats,
Galeocerdo cuvier,Scarus taeniopterus,Directed,,preysOn,
Galeocerdo cuvier,Scarus taeniopterus,Directed,,eats,
Galeocerdo cuvier,Scarus vetula,Directed,,preysOn,
Galeocerdo cuvier,Scarus vetula,Directed,,eats,
Galeocerdo cuvier,Scomber scombrus,Directed,,preysOn,
Galeocerdo cuvier,Scomberomorus cavalla,Directed,,preysOn,
Galeocerdo cuvier,Scomberomorus cavalla,Directed,,eats,
Galeocerdo cuvier,Scomberomorus regalis,Directed,,preysOn,
Galeocerdo cuvier,Scomberomorus regalis,Directed,,eats,
Galeocerdo cuvier,Scorpaena brasiliensis,Directed,,preysOn,
Galeocerdo cuvier,Scorpaena brasiliensis,Directed,,eats,
Galeocerdo cuvier,Scorpaena grandicornis,Directed,,preysOn,
Galeocerdo cuvier,Scorpaena grandicornis,Directed,,eats,
Galeocerdo cuvier,Scorpaena plumieri,Directed,,preysOn,
Galeocerdo cuvier,Scorpaena plumieri,Directed,,eats,
Galeocerdo cuvier,Selar crumenophthalmus,Directed,,preysOn,
Galeocerdo cuvier,Selar crumenophthalmus,Directed,,eats,
Galeocerdo cuvier,Seriola dumerili,Directed,,preysOn,
Galeocerdo cuvier,Seriola dumerili,Directed,,eats,
Galeocerdo cuvier,Sparisoma aurofrenatum,Directed,,preysOn,
Galeocerdo cuvier,Sparisoma aurofrenatum,Directed,,eats,
Galeocerdo cuvier,Sparisoma chrysopterum,Directed,,preysOn,
Galeocerdo cuvier,Sparisoma chrysopterum,Directed,,eats,
Galeocerdo cuvier,Sparisoma radians,Directed,,preysOn,
Galeocerdo cuvier,Sparisoma radians,Directed,,eats,
Galeocerdo cuvier,Sparisoma rubripinne,Directed,,preysOn,
Galeocerdo cuvier,Sparisoma rubripinne,Directed,,eats,
Galeocerdo cuvier,Sparisoma viride,Directed,,preysOn,
Galeocerdo cuvier,Sparisoma viride,Directed,,eats,
Galeocerdo cuvier,Sphyraena barracuda,Directed,,preysOn,
Galeocerdo cuvier,Sphyraena barracuda,Directed,,eats,
