Id,Label,Interval,TaxonRank,TaxonFamilyName,TaxonKingdomName
Schiffornis virescens,,,species,,Animalia
Platycichla flavipes,,,species,,Animalia
Orchesticus abeillei,,,species,,Animalia
Pipraeidea melanonota,,,species,,Animalia
Lathrotriccus euleri,,,species,,Animalia
Pachyramphus castaneus,,,species,,Animalia
Tachyphonus coronatus,,,species,,Animalia
Tangara seledon,,,species,,Animalia
Patagioenas cayennensis,,,species,,Animalia
Trogon rufus,,,species,,Animalia
Manacus aurantiacus,,,species,,Animalia
Orthogonys chloricterus,,,species,,Animalia
Trogon viridis,,,species,,Animalia
Saltator fuliginosus,,,species,,Animalia
Euphonia pectoralis,,,species,,Animalia
Carpornis cucullata,,,species,,Animalia
Attila rufus,,,species,,Animalia
Chlorophonia cyanea,,,species,,Animalia
Hemithraupis ruficapilla,,,species,,Animalia
Ilicura militaris,,,species,,Animalia
Carpornis melanocephala,,,species,,Animalia
Habia rubica,,,species,,Animalia
Aburria jacutinga,,,species,,Animalia
Cyanocorax caeruleus,,,species,,Animalia
Chlorophanes spiza,,,species,,Animalia
Euphonia violacea,,,species,,Animalia
Chiroxiphia caudata,,,species,,Animalia
Trichothraupis melanops,,,species,,Animalia
Coereba flaveola,,,species,,Animalia
Tangara preciosa,,,species,,Animalia
Trogon surrucura,,,species,,Animalia
Stephanophorus diadematus,,,species,,Animalia
Zonotrichia capensis,,,species,,Animalia
Cyanocompsa brissonii,,,species,,Animalia
Coryphospingus cucullatus,,,species,,Animalia
Euphonia cyanocephala,,,species,,Animalia
Euphonia chalybea,,,species,,Animalia
Pyrrhocoma ruficeps,,,species,,Animalia
Thraupis bonariensis,,,species,,Animalia
Elaenia parvirostris,,,species,,Animalia
Icterus pyrrhopterus,,,species,,Animalia
Pachyramphus validus,,,species,,Animalia
Euphonia chlorotica,,,species,,Animalia
Icterus cayanensis,,,species,,Animalia
Myiozetetes similis,,,species,,Animalia
Platyrrhinus lineatus,,,species,,Animalia
Artibeus lituratus,,,species,,Animalia
Artibeus obscurus,,,species,,Animalia
Trinycteris nicefori,,,species,,Animalia
Trachops cirrhosus,,,species,,Animalia
Dermanura cinerea,,,species,,Animalia
Rhinophylla pumilio,,,species,,Animalia
Dysithamnus mentalis,,,species,,Animalia
Pipra rubrocapilla,,,species,,Animalia
Chiroxiphia pareola,,,species,,Animalia
Artibeus planirostris,,,species,,Animalia
Carollia perspicillata,,,species,,Animalia
Phyllostomus elongatus,,,species,,Animalia
Artibeus fimbriatus,,,species,,Animalia
Tyrannus dominicensis,,,species,,Animalia
Vireo altiloquus,,,species,,Animalia
Euphonia musica,,,species,,Animalia
Myiarchus antillarum,,,species,,Animalia
Vireo latimeri,,,species,,Animalia
Tyrannus caudifasciatus,,,species,,Animalia
Icterus portoricensis,,,species,,Animalia
Vireo flavifrons,,,species,,Animalia
Cyanerpes caeruleus,,,species,,Animalia
Tiaris bicolor,,,species,,Animalia
Melanerpes portoricensis,,,species,,Animalia
Loxigilla portoricensis,,,species,,Animalia
Setophaga tigrina,,,species,,Animalia
Tachyphonus luctuosus,,,species,,Animalia
Zenaida asiatica,,,species,,Animalia
Turdus plumbeus,,,species,,Animalia
Nesospingus speculiferus,,,species,,Animalia
Setophaga caerulescens,,,species,,Animalia
Todus mexicanus,,,species,,Animalia
Margarops fuscatus,,,species,,Animalia
Spindalis portoricensis,,,species,,Animalia
Molothrus bonariensis,,,species,,Animalia
Zenaida aurita,,,species,,Animalia
Sparagmia gonoptera,,,species,,Animalia
Pleuroptya silicalis,,,species,,Animalia
Trichomerium didymopanacis,,,species,,Fungi
Nigroporus vinosus,,,species,,Fungi
Capnodium walteri,,,species,,Fungi
Nectria gigantospora,,,species,,Fungi
Mycosphaerella didymopanacis,,,species,,Fungi
Meliola didymopanacis,,,species,,Fungi
Lembosia morototoni,,,species,,Fungi
Calonectria kyotensis,,,species,,Fungi
Myiozetetes cayanensis,,,species,,Animalia
Schefflera morototoni,,,species,,Plantae
Leontopithecus rosalia,,,species,,Animalia
Brachyteles hypoxanthus,,,species,,Animalia
Leontopithecus chrysomelas,,,species,,Animalia
Brachyteles arachnoides,,,species,,Animalia
Conirostrum speciosum,,,species,,Animalia
