speciesKey,scientificName,rank,taxonomicStatus,kingdom,includes
1244357,"Bagous glabrirostris (J.F.W.Herbst, 1795)",SPECIES,ACCEPTED,Animalia,"1244357: Bagous glabrirostris (J.F.W.Herbst, 1795)"
1244402,"Bagous subcarinatus Gyllenhal, 1836",SPECIES,ACCEPTED,Animalia,"1244402: Bagous subcarinatus Gyllenhal, 1836"
1244431,"Bagous puncticollis Boheman, 1845",SPECIES,ACCEPTED,Animalia,"1244431: Bagous puncticollis Boheman, 1845"
1244459,"Bagous argillaceus Gyllenhal, 1836",SPECIES,ACCEPTED,Animalia,"1244459: Bagous argillaceus Gyllenhal, 1836"
1246195,"Cycloderes fritillum (Panzer, 1794)",SPECIES,ACCEPTED,Animalia,"1246195: Cycloderes fritillum (Panzer, 1794)"
1249184,"Evania appendigaster (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1249184: Evania appendigaster (Linnaeus, 1758)"
1249411,"Prosevania fuscipes (Illiger, 1807)",SPECIES,ACCEPTED,Animalia,"1249411: Prosevania fuscipes (Illiger, 1807)"
1257337,"Iphiaulax mactator (Klug, 1817)",SPECIES,ACCEPTED,Animalia,"1257337: Iphiaulax mactator (Klug, 1817)"
1275922,"Banchus pictus Fabricius, 1798",SPECIES,ACCEPTED,Animalia,"1275922: Banchus pictus Fabricius, 1798"
1278096,"Pimpla rufipes Brulle, 1846",SPECIES,ACCEPTED,Animalia,"1278096: Pimpla rufipes Brulle, 1846"
1282588,"Stenichneumon culpator (Schrank, 1802)",SPECIES,ACCEPTED,Animalia,"1282588: Stenichneumon culpator (Schrank, 1802)"
1290362,"Gelis edentatus (Forster, 1850)",SPECIES,ACCEPTED,Animalia,10499498: BOLD:ACF7577
1309600,"Andricus kollari (Hartig, 1843)",SPECIES,ACCEPTED,Animalia,"1309600: Andricus kollari (Hartig, 1843)"
1309606,"Andricus grossulariae Giraud, 1859",SPECIES,ACCEPTED,Animalia,"1309606: Andricus grossulariae Giraud, 1859"
1309640,"Biorhiza pallida (Olivier, 1791)",SPECIES,ACCEPTED,Animalia,"1309640: Biorhiza pallida (Olivier, 1791)"
1309691,"Neuroterus numismalis (Fourcroy, 1785)",SPECIES,ACCEPTED,Animalia,"1309691: Neuroterus numismalis (Fourcroy, 1785)"
1309692,"Neuroterus quercusbaccarum (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1309692: Neuroterus quercusbaccarum (Linnaeus, 1758)"
1310622,"Polistes gallicus (Linnaeus, 1767)",SPECIES,ACCEPTED,Animalia,"1310622: Polistes gallicus (Linnaeus, 1767)"
1310811,"Polistes nimpha (Christ, 1791)",SPECIES,ACCEPTED,Animalia,"1310811: Polistes nimpha (Christ, 1791)"
1311433,"Vespa orientalis Linnaeus, 1761",SPECIES,ACCEPTED,Animalia,"1311433: Vespa orientalis Linnaeus, 1761"
1311515,"Vespa sexmaculata Müller, 1766",SPECIES,ACCEPTED,Animalia,"4505858: Colpa sexmaculata (Fabricius, 1781)"
1311527,Vespa crabro Linnaeus,SPECIES,ACCEPTED,Animalia,1311527: Vespa crabro Linnaeus
1311649,"Vespula germanica (Fabricius, 1793)",SPECIES,ACCEPTED,Animalia,"1311649: Vespula germanica (Fabricius, 1793)"
1311671,"Vespula vulgaris (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1311671: Vespula vulgaris (Linnaeus, 1758)"
1311676,"Vespula rufa (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1311676: Vespula rufa (Linnaeus, 1758)"
1311798,"Dolichovespula sylvestris (Scopoli, 1763)",SPECIES,ACCEPTED,Animalia,"1311798: Dolichovespula sylvestris (Scopoli, 1763)"
1312367,"Camponotus ligniperdus (Latreille, 1802)",SPECIES,ACCEPTED,Animalia,"1312367: Camponotus ligniperdus (Latreille, 1802)"
1312649,"Camponotus fallax (Nylander, 1856)",SPECIES,ACCEPTED,Animalia,"1312649: Camponotus fallax (Nylander, 1856)"
1312773,"Camponotus herculeanus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1312773: Camponotus herculeanus (Linnaeus, 1758)"
1312835,"Camponotus piceus (Leach, 1825)",SPECIES,ACCEPTED,Animalia,"1312835: Camponotus piceus (Leach, 1825)"
1313104,"Camponotus aethiops (Latreille, 1798)",SPECIES,ACCEPTED,Animalia,"1313104: Camponotus aethiops (Latreille, 1798)"
1313740,"Camponotus vagus (Scopoli, 1763)",SPECIES,ACCEPTED,Animalia,"1313740: Camponotus vagus (Scopoli, 1763)"
1313954,"Camponotus truncatus (Spinola, 1808)",SPECIES,ACCEPTED,Animalia,"9471734: Colobopsis truncata (Spinola, 1808)"
1314881,"Formica fusca Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"1314881: Formica fusca Linnaeus, 1758"
1315102,"Formica cinerea Mayr, 1853",SPECIES,ACCEPTED,Animalia,"1315102: Formica cinerea Mayr, 1853"
1315144,"Formica pratensis Retzius, 1783",SPECIES,ACCEPTED,Animalia,"1315144: Formica pratensis Retzius, 1783"
1317138,"Cardiocondyla stambuloffii Forel, 1892",SPECIES,ACCEPTED,Animalia,"1317138: Cardiocondyla stambuloffii Forel, 1892"
1318848,"Myrmica ruginodis Nylander, 1846",SPECIES,ACCEPTED,Animalia,"1318848: Myrmica ruginodis Nylander, 1846"
1318874,"Myrmica rubra (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1318874: Myrmica rubra (Linnaeus, 1758)"
1319375,"Liometopum microcephalum (Panzer, 1798)",SPECIES,ACCEPTED,Animalia,"1319375: Liometopum microcephalum (Panzer, 1798)"
1319563,"Cataglyphis aenescens (Nylander, 1849)",SPECIES,ACCEPTED,Animalia,"1319563: Cataglyphis aenescens (Nylander, 1849)"
1319599,"Cataglyphis nodus (Brullé, 1832)",SPECIES,ACCEPTED,Animalia,"1319599: Cataglyphis nodus (Brullé, 1832)"
1320777,"Plagiolepis pygmaea (Latreille, 1798)",SPECIES,ACCEPTED,Animalia,"1320777: Plagiolepis pygmaea (Latreille, 1798)"
1323356,"Tetramorium impurum (Foerster, 1850)",SPECIES,ACCEPTED,Animalia,"1323356: Tetramorium impurum (Foerster, 1850)"
1323381,"Tetramorium caespitum (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1323381: Tetramorium caespitum (Linnaeus, 1758)"
1323589,"Prenolepis nitens (Mayr, 1853)",SPECIES,ACCEPTED,Animalia,"1323589: Prenolepis nitens (Mayr, 1853)"
1323979,"Leptothorax corticalis (Schenck, 1852)",SPECIES,ACCEPTED,Animalia,"8217503: Temnothorax corticalis (Schenck, 1852)"
1324250,"Cryptopone ochracea (Mayr, 1855)",SPECIES,ACCEPTED,Animalia,"1324250: Cryptopone ochracea (Mayr, 1855)"
1325195,"Crematogaster schmidti (Mayr, 1853)",SPECIES,ACCEPTED,Animalia,"1325195: Crematogaster schmidti (Mayr, 1853)"
1326343,"Polyergus rufescens (Latreille, 1798)",SPECIES,ACCEPTED,Animalia,"1326343: Polyergus rufescens (Latreille, 1798)"
1334527,"Chelostoma florisomne (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1334527: Chelostoma florisomne (Linnaeus, 1758)"
1334538,"Chelostoma ventrale Schletterer, 1889",SPECIES,ACCEPTED,Animalia,"1334538: Chelostoma ventrale Schletterer, 1889"
1334622,"Rhodanthidium septemdentatum (Latreille, 1809)",SPECIES,ACCEPTED,Animalia,"1334622: Rhodanthidium septemdentatum (Latreille, 1809)"
1334802,"Anthidium florentinum (Fabricius, 1775)",SPECIES,ACCEPTED,Animalia,"1334802: Anthidium florentinum (Fabricius, 1775)"
1334821,"Anthidium manicatum (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1334821: Anthidium manicatum (Linnaeus, 1758)"
1334902,"Anthidium oblongatum (Illiger, 1806)",SPECIES,ACCEPTED,Animalia,"1334902: Anthidium oblongatum (Illiger, 1806)"
1335229,"Megachile pilidens Alfken, 1924",SPECIES,ACCEPTED,Animalia,"1335229: Megachile pilidens Alfken, 1924"
1335245,"Megachile pilicrus Morawitz, 1877",SPECIES,ACCEPTED,Animalia,"1335245: Megachile pilicrus Morawitz, 1877"
